data,بدون_تشكيل,tag,المحذوف,pattern,word_type,pattern_score
,ان,حرف,أَنَّ,,,0.0
,لنا,حرف_جر,لَنَا,,,0.0
,None,اسم,كَرَّةً,,,0.0
فَنَكُونَ,فنكون,,,فعل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمُؤْمِنِينَ,المومنين,اسم,الْمُؤْمِنِينَ,,,0.0
,ان,حرف,إِنَّ,,,0.0
,في,حرف_جر,فِي,,,0.0
ذَٰلِكَ,,اسم,ذلك,فعل,فعل,1.0
,None,اسم,لَآيَةً,,,0.0
,وما,حرف,وَمَا,,,0.0
,كان,فعل,,,,0.0
أَكْثَرُهُمْ,اكثرهم,,,أفعال,اسم,1.0
مُؤْمِنِينَ,مومنين,,,مفعل,اسم,1.1
,وان,حرف,وَإِنَّ,,,0.0
رَبَّكَ,ربك,,,,,0.0
لَهُوَ,لهو,,,فعول,اسم,0.6
الْعَزِيزُ,,اسم,الْعَزِيزُ,افعلّ,فعل,0.6666666666666666
الرَّحِيمُ,,اسم,الرَّحِيمُ,صفة_الله,اسم,1.0
كَذَّبَتْ,كذبت,,,,,0.0
قَوْمُ,,اسم,قوم,,,0.0
,None,اسم,نُوحٍ,,,0.0
الْمُرْسَلِينَ,المرسلين,اسم,الْمُرْسَلِينَ,استفعل,فعل,0.6666666666666666
,اذ,حرف,إِذْ,,,0.0
,قال,فعل,,,,0.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,اخوهم,اسم,أَخُوهُمْ,,,0.0
,None,اسم,نُوحٌ,,,0.0
,الا,فعل,,,,0.0
تَتَّقُونَ,تتقون,,,مفعول,اسم,1.1
إِنِّي,,اسم,اني,انفعل,فعل,1.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,None,اسم,رَسُولٌ,,,0.0
,None,اسم,أَمِينٌ,,,0.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
أَسْأَلُكُمْ,اسالكم,,,فاعَل,فعل,1.0
,عليه,حرف_جر,عَلَيْهِ,,,0.0
,,فعل,مِنْ,,,0.0
,None,اسم,أَجْرٍ,,,0.0
,ان,حرف,إِنْ,,,0.0
أَجْرِيَ,اجري,,,تفعيل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,رب,اسم,رَبِّ,,,0.0
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,أفعال,اسم,1.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
قَالُوا,قالوا,,,فعل,فعل,1.0
أَنُؤْمِنُ,انومن,,,انفعل,فعل,1.0
,لك,حرف_جر,لَكَ,,,0.0
,واتبعك,اسم,وَاتَّبَعَكَ,,,0.0
الْأَرْذَلُونَ,الارذلون,اسم,الْأَرْذَلُونَ,استفعل,فعل,1.0
,قال,فعل,,,,0.0
,وما,حرف,وَمَا,,,0.0
عِلْمِي,علمي,,,,,0.0
,بما,حرف_جر,بِمَا,,,0.0
,كانوا,اسم,كَانُوا,,,0.0
يَعْمَلُونَ,يعملون,,,فِعال,اسم,1.0
,ان,حرف,إِنْ,,,0.0
حِسَابُهُمْ,حسابهم,,,تَفاعَل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,ربي,اسم,رَبِّي,,,0.0
,لو,حرف,لَوْ,,,0.0
تَشْعُرُونَ,تشعرون,,,فاعَل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
أَنَا,,اسم,انا,تَفاعَل,فعل,1.0
بِطَارِدِ,بطارد,,,تَفاعَل,فعل,1.0
الْمُؤْمِنِينَ,المومنين,اسم,الْمُؤْمِنِينَ,,,0.0
,ان,حرف,إِنْ,,,0.0
أَنَا,,اسم,انا,تَفاعَل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,None,اسم,نَذِيرٌ,,,0.0
,None,اسم,مُبِينٌ,,,0.0
قَالُوا,قالوا,,,فعل,فعل,1.0
لَئِنْ,لين,,,,,0.0
,,فعل,لَمْ,,,0.0
تَنْتَهِ,تنته,,,تَفَعَّل,فعل,1.0
,يا,حرف,يَا,,,0.0
نُوحُ,نوح,,,نفعل,فعل,1.0
لَتَكُونَنَّ,لتكونن,,,مفعول,اسم,0.6
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمَرْجُومِينَ,المرجومين,اسم,الْمَرْجُومِينَ,,,0.0
,قال,فعل,,,,0.0
رَبِّ,رب,,,,,0.0
,ان,حرف,إِنَّ,,,0.0
قَوْمِي,قومي,,,تفعيل,فعل,1.0
كَذَّبُونِ,كذبون,,,مفعول,اسم,1.1
فَافْتَحْ,فافتح,,,فعل,فعل,1.0
بَيْنِي,بيني,,,تفعيل,فعل,1.0
وَبَيْنَهُمْ,وبينهم,,,فعيل,اسم,1.0
,None,اسم,فَتْحًا,,,0.0
وَنَجِّنِي,ونجني,,,انفعل,فعل,1.0
,ومن,حرف_جر,وَمَنْ,,,0.0
,معي,اسم,مَعِيَ,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمُؤْمِنِينَ,المومنين,اسم,الْمُؤْمِنِينَ,,,0.0
فَأَنْجَيْنَاهُ,فانجيناه,,,فعل,فعل,1.0
,ومن,حرف_جر,وَمَنْ,,,0.0
,معه,اسم,مَعَهُ,,,0.0
,في,حرف_جر,فِي,,,0.0
,الفلك,اسم,الْفُلْكِ,,,0.0
الْمَشْحُونِ,المشحون,اسم,الْمَشْحُونِ,,,0.0
ثُمَّ,,اسم,ثم,,,0.0
أَغْرَقْنَا,اغرقنا,,,,,0.0
,بعد,حرف,بَعْدُ,,,0.0
الْبَاقِينَ,الباقين,اسم,الْبَاقِينَ,,,0.0
,ان,حرف,إِنَّ,,,0.0
,في,حرف_جر,فِي,,,0.0
ذَٰلِكَ,,اسم,ذلك,فعل,فعل,1.0
,None,اسم,لَآيَةً,,,0.0
,وما,حرف,وَمَا,,,0.0
,كان,فعل,,,,0.0
أَكْثَرُهُمْ,اكثرهم,,,أفعال,اسم,1.0
مُؤْمِنِينَ,مومنين,,,مفعل,اسم,1.1
,وان,حرف,وَإِنَّ,,,0.0
رَبَّكَ,ربك,,,,,0.0
لَهُوَ,لهو,,,فعول,اسم,0.6
الْعَزِيزُ,,اسم,الْعَزِيزُ,افعلّ,فعل,0.6666666666666666
الرَّحِيمُ,,اسم,الرَّحِيمُ,صفة_الله,اسم,1.0
كَذَّبَتْ,كذبت,,,,,0.0
,None,اسم,عَادٌ,,,0.0
الْمُرْسَلِينَ,المرسلين,اسم,الْمُرْسَلِينَ,استفعل,فعل,0.6666666666666666
,اذ,حرف,إِذْ,,,0.0
,قال,فعل,,,,0.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,اخوهم,اسم,أَخُوهُمْ,,,0.0
,None,اسم,هُودٌ,,,0.0
,الا,فعل,,,,0.0
تَتَّقُونَ,تتقون,,,مفعول,اسم,1.1
إِنِّي,,اسم,اني,انفعل,فعل,1.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,None,اسم,رَسُولٌ,,,0.0
,None,اسم,أَمِينٌ,,,0.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
أَسْأَلُكُمْ,اسالكم,,,فاعَل,فعل,1.0
,عليه,حرف_جر,عَلَيْهِ,,,0.0
,,فعل,مِنْ,,,0.0
,None,اسم,أَجْرٍ,,,0.0
,ان,حرف,إِنْ,,,0.0
أَجْرِيَ,اجري,,,تفعيل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,رب,اسم,رَبِّ,,,0.0
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,أفعال,اسم,1.0
أَتَبْنُونَ,اتبنون,,,أفعال,اسم,1.0
بِكُلِّ,بكل,,,فعل,فعل,1.0
,None,اسم,رِيعٍ,,,0.0
,None,اسم,آيَةً,,,0.0
تَعْبَثُونَ,تعبثون,,,فعل,فعل,1.0
وَتَتَّخِذُونَ,وتتخذون,,,افتعل,فعل,1.0
مَصَانِعَ,مصانع,,,مفاعل,اسم,0.7666666666666666
لَعَلَّكُمْ,لعلكم,,,فعل,فعل,1.0
تَخْلُدُونَ,تخلدون,,,فعل,فعل,1.0
وَإِذَا,واذا,,,فعلان,اسم,1.0
بَطَشْتُمْ,بطشتم,,,,,0.0
بَطَشْتُمْ,بطشتم,,,,,0.0
جَبَّارِينَ,جبارين,,,تَفاعَل,فعل,1.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
وَاتَّقُوا,واتقوا,,,فاعَل,فعل,1.0
الَّذِي,,اسم,الَّذِي,,,0.0
أَمَدَّكُمْ,امدكم,,,أفعال,اسم,1.0
,بما,حرف_جر,بِمَا,,,0.0
,تعلمون,اسم,تَعْلَمُونَ,,,0.0
أَمَدَّكُمْ,امدكم,,,أفعال,اسم,1.0
,None,اسم,بِأَنْعَامٍ,,,0.0
وَبَنِينَ,وبنين,,,تفعيل,فعل,1.0
,None,اسم,وَجَنَّاتٍ,,,0.0
,None,اسم,وَعُيُونٍ,,,0.0
إِنِّي,,اسم,اني,انفعل,فعل,1.0
أَخَافُ,اخاف,,,,,0.0
,عليكم,حرف_جر,عَلَيْكُمْ,,,0.0
,عذاب,اسم,عَذَابَ,,,0.0
,None,اسم,يَوْمٍ,,,0.0
,None,اسم,عَظِيمٍ,,,0.0
قَالُوا,قالوا,,,فعل,فعل,1.0
,None,اسم,سَوَاءٌ,,,0.0
,علينا,حرف_جر,عَلَيْنَا,,,0.0
,اوعظت,اسم,أَوَعَظْتَ,,,0.0
,ام,حرف,أَمْ,,,0.0
,,فعل,لَمْ,,,0.0
تَكُنْ,تكن,,,تَفَعَّل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْوَاعِظِينَ,الواعظين,اسم,الْوَاعِظِينَ,استفعل,فعل,0.6666666666666666
,ان,حرف,إِنْ,,,0.0
هَٰذَا,,اسم,هذا,فعلان,اسم,1.0
,الا,حرف,إِلَّا,,,0.0
خُلُقُ,خلق,,,,,0.0
الْأَوَّلِينَ,الاولين,اسم,الْأَوَّلِينَ,مفعول,اسم,1.1
,وما,حرف,وَمَا,,,0.0
نَحْنُ,,اسم,نحن,نفعل,فعل,1.0
بِمُعَذَّبِينَ,بمعذبين,,,فاعَل,فعل,1.0
فَكَذَّبُوهُ,فكذبوه,,,فعل,فعل,1.0
فَأَهْلَكْنَاهُمْ,فاهلكناهم,,,فعيل,اسم,1.0
,ان,حرف,إِنَّ,,,0.0
,في,حرف_جر,فِي,,,0.0
ذَٰلِكَ,,اسم,ذلك,فعل,فعل,1.0
,None,اسم,لَآيَةً,,,0.0
,وما,حرف,وَمَا,,,0.0
,كان,فعل,,,,0.0
أَكْثَرُهُمْ,اكثرهم,,,أفعال,اسم,1.0
مُؤْمِنِينَ,مومنين,,,مفعل,اسم,1.1
,وان,حرف,وَإِنَّ,,,0.0
رَبَّكَ,ربك,,,,,0.0
لَهُوَ,لهو,,,فعول,اسم,0.6
الْعَزِيزُ,,اسم,الْعَزِيزُ,افعلّ,فعل,0.6666666666666666
الرَّحِيمُ,,اسم,الرَّحِيمُ,صفة_الله,اسم,1.0
كَذَّبَتْ,كذبت,,,,,0.0
ثَمُودُ,ثمود,,,فعول,اسم,1.1
الْمُرْسَلِينَ,المرسلين,اسم,الْمُرْسَلِينَ,استفعل,فعل,0.6666666666666666
,اذ,حرف,إِذْ,,,0.0
,قال,فعل,,,,0.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,اخوهم,اسم,أَخُوهُمْ,,,0.0
,None,اسم,صَالِحٌ,,,0.0
,الا,فعل,,,,0.0
تَتَّقُونَ,تتقون,,,مفعول,اسم,1.1
إِنِّي,,اسم,اني,انفعل,فعل,1.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,None,اسم,رَسُولٌ,,,0.0
,None,اسم,أَمِينٌ,,,0.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
أَسْأَلُكُمْ,اسالكم,,,فاعَل,فعل,1.0
,عليه,حرف_جر,عَلَيْهِ,,,0.0
,,فعل,مِنْ,,,0.0
,None,اسم,أَجْرٍ,,,0.0
,ان,حرف,إِنْ,,,0.0
أَجْرِيَ,اجري,,,تفعيل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,رب,اسم,رَبِّ,,,0.0
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,أفعال,اسم,1.0
أَتُتْرَكُونَ,اتتركون,,,افتعل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
مَا,,اسم,ما,مفعل,اسم,1.1
هَاهُنَا,,اسم,هاهنا,فاعَل,فعل,1.0
آمِنِينَ,امنين,,,تفعيل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,None,اسم,جَنَّاتٍ,,,0.0
,None,اسم,وَعُيُونٍ,,,0.0
,None,اسم,وَزُرُوعٍ,,,0.0
,None,اسم,وَنَخْلٍ,,,0.0
طَلْعُهَا,طلعها,,,,,0.0
,None,اسم,هَضِيمٌ,,,0.0
وَتَنْحِتُونَ,وتنحتون,,,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْجِبَالِ,الجبال,اسم,الْجِبَالِ,استفعل,فعل,1.0
,None,اسم,بُيُوتًا,,,0.0
فَارِهِينَ,فارهين,,,فعل,فعل,1.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
,ولا,حرف,وَلَا,,,0.0
تُطِيعُوا,تطيعوا,,,تَفاعَل,فعل,0.6666666666666666
أَمْرَ,امر,,,أفعال,اسم,1.0
الْمُسْرِفِينَ,المسرفين,اسم,الْمُسْرِفِينَ,,,0.0
الَّذِينَ,,اسم,الَّذِينَ,,,0.0
يُفْسِدُونَ,يفسدون,,,تَفَعَّل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
,ولا,حرف,وَلَا,,,0.0
يُصْلِحُونَ,يصلحون,,,فعل,فعل,1.0
قَالُوا,قالوا,,,فعل,فعل,1.0
,انما,حرف,إِنَّمَا,,,0.0
أَنْتَ,,اسم,انت,انفعل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمُسَحَّرِينَ,المسحرين,اسم,الْمُسَحَّرِينَ,,,0.0
مَا,,اسم,ما,مفعل,اسم,1.1
أَنْتَ,,اسم,انت,انفعل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,None,اسم,بَشَرٌ,,,0.0
مِثْلُنَا,مثلنا,,,فعل,فعل,1.0
فَأْتِ,فات,,,فعل,فعل,1.0
,None,اسم,بِآيَةٍ,,,0.0
,ان,حرف,إِنْ,,,0.0
كُنْتَ,كنت,,,انفعل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الصَّادِقِينَ,الصادقين,اسم,الصَّادِقِينَ,,,0.0
,قال,فعل,,,,0.0
هَٰذِهِ,,اسم,هذه,,,0.0
,None,اسم,نَاقَةٌ,,,0.0
,لها,حرف_جر,لَهَا,,,0.0
,None,اسم,شِرْبٌ,,,0.0
,ولكم,حرف_جر,وَلَكُمْ,,,0.0
,شرب,اسم,شِرْبُ,,,0.0
,None,اسم,يَوْمٍ,,,0.0
,None,اسم,مَعْلُومٍ,,,0.0
,ولا,حرف,وَلَا,,,0.0
تَمَسُّوهَا,تمسوها,,,تَفَعَّل,فعل,1.0
,None,اسم,بِسُوءٍ,,,0.0
فَيَأْخُذَكُمْ,فياخذكم,,,فعل,فعل,1.0
عَذَابُ,عذاب,,,,,0.0
,None,اسم,يَوْمٍ,,,0.0
,None,اسم,عَظِيمٍ,,,0.0
فَعَقَرُوهَا,فعقروها,,,فعل,فعل,1.0
فَأَصْبَحُوا,فاصبحوا,,,فعل,فعل,1.0
نَادِمِينَ,نادمين,,,فاعَل,فعل,1.0
فَأَخَذَهُمُ,فاخذهم,,,فعل,فعل,1.0
الْعَذَابُ,العذاب,اسم,الْعَذَابُ,افعلّ,فعل,0.6666666666666666
,ان,حرف,إِنَّ,,,0.0
,في,حرف_جر,فِي,,,0.0
ذَٰلِكَ,,اسم,ذلك,فعل,فعل,1.0
,None,اسم,لَآيَةً,,,0.0
,وما,حرف,وَمَا,,,0.0
,كان,فعل,,,,0.0
أَكْثَرُهُمْ,اكثرهم,,,أفعال,اسم,1.0
مُؤْمِنِينَ,مومنين,,,مفعل,اسم,1.1
,وان,حرف,وَإِنَّ,,,0.0
رَبَّكَ,ربك,,,,,0.0
لَهُوَ,لهو,,,فعول,اسم,0.6
الْعَزِيزُ,,اسم,الْعَزِيزُ,افعلّ,فعل,0.6666666666666666
الرَّحِيمُ,,اسم,الرَّحِيمُ,صفة_الله,اسم,1.0
كَذَّبَتْ,كذبت,,,,,0.0
قَوْمُ,,اسم,قوم,,,0.0
,None,اسم,لُوطٍ,,,0.0
الْمُرْسَلِينَ,المرسلين,اسم,الْمُرْسَلِينَ,استفعل,فعل,0.6666666666666666
,اذ,حرف,إِذْ,,,0.0
,قال,فعل,,,,0.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,اخوهم,اسم,أَخُوهُمْ,,,0.0
,None,اسم,لُوطٌ,,,0.0
,الا,فعل,,,,0.0
تَتَّقُونَ,تتقون,,,مفعول,اسم,1.1
إِنِّي,,اسم,اني,انفعل,فعل,1.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,None,اسم,رَسُولٌ,,,0.0
,None,اسم,أَمِينٌ,,,0.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
أَسْأَلُكُمْ,اسالكم,,,فاعَل,فعل,1.0
,عليه,حرف_جر,عَلَيْهِ,,,0.0
,,فعل,مِنْ,,,0.0
,None,اسم,أَجْرٍ,,,0.0
,ان,حرف,إِنْ,,,0.0
أَجْرِيَ,اجري,,,تفعيل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,رب,اسم,رَبِّ,,,0.0
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,أفعال,اسم,1.0
أَتَأْتُونَ,اتاتون,,,أفعال,اسم,1.0
الذُّكْرَانَ,الذكران,اسم,الذُّكْرَانَ,استفعال,اسم,0.6666666666666666
مِنَ,,اسم,من,مفعل,اسم,1.1
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,أفعال,اسم,1.0
وَتَذَرُونَ,وتذرون,,,,,0.0
مَا,,اسم,ما,مفعل,اسم,1.1
,خلق,فعل,,,,0.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,ربكم,اسم,رَبُّكُمْ,,,0.0
,,فعل,مِنْ,,,0.0
أَزْوَاجِكُمْ,ازواجكم,,,فعول,اسم,1.1
,بل,حرف,بَلْ,,,0.0
أَنْتُمْ,,اسم,انتم,انفعل,فعل,1.0
,None,اسم,قَوْمٌ,,,0.0
عَادُونَ,عادون,,,مفعول,اسم,0.6
قَالُوا,قالوا,,,فعل,فعل,1.0
لَئِنْ,لين,,,,,0.0
,,فعل,لَمْ,,,0.0
تَنْتَهِ,تنته,,,تَفَعَّل,فعل,1.0
,يا,حرف,يَا,,,0.0
لُوطُ,لوط,,,,,0.0
لَتَكُونَنَّ,لتكونن,,,مفعول,اسم,0.6
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمُخْرَجِينَ,المخرجين,اسم,الْمُخْرَجِينَ,,,0.0
,قال,فعل,,,,0.0
إِنِّي,,اسم,اني,انفعل,فعل,1.0
لِعَمَلِكُمْ,لعملكم,,,فعيل,اسم,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْقَالِينَ,القالين,اسم,الْقَالِينَ,افتعل,فعل,1.0
رَبِّ,رب,,,,,0.0
نَجِّنِي,نجني,,,نفعل,فعل,1.0
وَأَهْلِي,واهلي,,,فاعَل,فعل,1.0
,مما,حرف_جر,مِمَّا,,,0.0
,يعملون,اسم,يَعْمَلُونَ,,,0.0
فَنَجَّيْنَاهُ,فنجيناه,,,فعل,فعل,1.0
وَأَهْلَهُ,واهله,,,فاعَل,فعل,1.0
أَجْمَعِينَ,اجمعين,,,تَفاعَل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,None,اسم,عَجُوزًا,,,0.0
,في,حرف_جر,فِي,,,0.0
,الغابرين,اسم,الْغَابِرِينَ,,,0.0
ثُمَّ,,اسم,ثم,,,0.0
دَمَّرْنَا,دمرنا,,,,,0.0
الْآخَرِينَ,الاخرين,اسم,الْآخَرِينَ,,,0.0
وَأَمْطَرْنَا,وامطرنا,,,,,0.0
,عليهم,حرف_جر,عَلَيْهِمْ,,,0.0
,None,اسم,مَطَرًا,,,0.0
فَسَاءَ,فساء,,,فعل,فعل,1.0
مَطَرُ,مطر,,,مفعل,اسم,1.1
الْمُنْذَرِينَ,المنذرين,اسم,الْمُنْذَرِينَ,,,0.0
,ان,حرف,إِنَّ,,,0.0
,في,حرف_جر,فِي,,,0.0
ذَٰلِكَ,,اسم,ذلك,فعل,فعل,1.0
,None,اسم,لَآيَةً,,,0.0
,وما,حرف,وَمَا,,,0.0
,كان,فعل,,,,0.0
أَكْثَرُهُمْ,اكثرهم,,,أفعال,اسم,1.0
مُؤْمِنِينَ,مومنين,,,مفعل,اسم,1.1
,وان,حرف,وَإِنَّ,,,0.0
رَبَّكَ,ربك,,,,,0.0
لَهُوَ,لهو,,,فعول,اسم,0.6
الْعَزِيزُ,,اسم,الْعَزِيزُ,افعلّ,فعل,0.6666666666666666
الرَّحِيمُ,,اسم,الرَّحِيمُ,صفة_الله,اسم,1.0
كَذَّبَ,كذب,,,,,0.0
أَصْحَابُ,اصحاب,,,فعلان,اسم,1.0
الْأَيْكَةِ,الايكه,اسم,الْأَيْكَةِ,,,0.0
الْمُرْسَلِينَ,المرسلين,اسم,الْمُرْسَلِينَ,استفعل,فعل,0.6666666666666666
,اذ,حرف,إِذْ,,,0.0
,قال,فعل,,,,0.0
,لهم,حرف_جر,لَهُمْ,,,0.0
,None,اسم,شُعَيْبٌ,,,0.0
,الا,فعل,,,,0.0
تَتَّقُونَ,تتقون,,,مفعول,اسم,1.1
إِنِّي,,اسم,اني,انفعل,فعل,1.0
,لكم,حرف_جر,لَكُمْ,,,0.0
,None,اسم,رَسُولٌ,,,0.0
,None,اسم,أَمِينٌ,,,0.0
فَاتَّقُوا,فاتقوا,,,فعل,فعل,1.0
اللَّهَ,,اسم,اللَّهَ,لفظ_الجلالة,اسم,1.0
وَأَطِيعُونِ,واطيعون,,,استفعل,فعل,1.0
,وما,حرف,وَمَا,,,0.0
أَسْأَلُكُمْ,اسالكم,,,فاعَل,فعل,1.0
,عليه,حرف_جر,عَلَيْهِ,,,0.0
,,فعل,مِنْ,,,0.0
,None,اسم,أَجْرٍ,,,0.0
,ان,حرف,إِنْ,,,0.0
أَجْرِيَ,اجري,,,تفعيل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,علي,حرف_جر,عَلَىٰ,,,0.0
,رب,اسم,رَبِّ,,,0.0
الْعَالَمِينَ,العالمين,اسم,الْعَالَمِينَ,أفعال,اسم,1.0
أَوْفُوا,اوفوا,,,مفعول,اسم,0.6
الْكَيْلَ,الكيل,اسم,الْكَيْلَ,انفعل,فعل,1.0
,ولا,حرف,وَلَا,,,0.0
تَكُونُوا,تكونوا,,,فعول,اسم,1.1
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمُخْسِرِينَ,المخسرين,اسم,الْمُخْسِرِينَ,,,0.0
وَزِنُوا,وزنوا,,,مفعول,اسم,1.1
بِالْقِسْطَاسِ,بالقسطاس,,,فعل,فعل,1.0
الْمُسْتَقِيمِ,المستقيم,اسم,الْمُسْتَقِيمِ,,,0.0
,ولا,حرف,وَلَا,,,0.0
تَبْخَسُوا,تبخسوا,,,تَفَعَّل,فعل,1.0
النَّاسَ,الناس,اسم,النَّاسَ,,,0.0
أَشْيَاءَهُمْ,اشياءهم,,,فعيل,اسم,1.0
,ولا,حرف,وَلَا,,,0.0
تَعْثَوْا,تعثوا,,,فعل,فعل,1.0
,في,حرف_جر,فِي,,,0.0
,الارض,اسم,الْأَرْضِ,,,0.0
مُفْسِدِينَ,مفسدين,,,مفعل,اسم,1.1
وَاتَّقُوا,واتقوا,,,فاعَل,فعل,1.0
الَّذِي,,اسم,الَّذِي,,,0.0
خَلَقَكُمْ,خلقكم,,,,,0.0
وَالْجِبِلَّةَ,والجبله,,,فعل,فعل,1.0
الْأَوَّلِينَ,الاولين,اسم,الْأَوَّلِينَ,مفعول,اسم,1.1
قَالُوا,قالوا,,,فعل,فعل,1.0
,انما,حرف,إِنَّمَا,,,0.0
أَنْتَ,,اسم,انت,انفعل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الْمُسَحَّرِينَ,المسحرين,اسم,الْمُسَحَّرِينَ,,,0.0
,وما,حرف,وَمَا,,,0.0
أَنْتَ,,اسم,انت,انفعل,فعل,1.0
,الا,حرف,إِلَّا,,,0.0
,None,اسم,بَشَرٌ,,,0.0
مِثْلُنَا,مثلنا,,,فعل,فعل,1.0
,وان,حرف,وَإِنْ,,,0.0
نَظُنُّكَ,نظنك,,,نفعل,فعل,1.0
,لمن,حرف,لَمِنَ,,,0.0
الْكَاذِبِينَ,الكاذبين,اسم,الْكَاذِبِينَ,,,0.0
فَأَسْقِطْ,فاسقط,,,فعل,فعل,1.0
,علينا,حرف_جر,عَلَيْنَا,,,0.0
,None,اسم,كِسَفًا,,,0.0
مِنَ,,اسم,من,مفعل,اسم,1.1
السَّمَاءِ,السماء,اسم,السَّمَاءِ,افتعال,اسم,0.6666666666666666
,ان,حرف,إِنْ,,,0.0
كُنْتَ,كنت,,,انفعل,فعل,1.0
مِنَ,,اسم,من,مفعل,اسم,1.1
الصَّادِقِينَ,الصادقين,اسم,الصَّادِقِينَ,,,0.0
,قال,فعل,,,,0.0
رَبِّي,ربي,,,فعيل,اسم,1.0
أَعْلَمُ,اعلم,,,فعل,فعل,1.0
,بما,حرف_جر,بِمَا,,,0.0
,تعملون,اسم,تَعْمَلُونَ,,,0.0
فَكَذَّبُوهُ,فكذبوه,,,فعل,فعل,1.0
فَأَخَذَهُمْ,فاخذهم,,,فعل,فعل,1.0
عَذَابُ,عذاب,,,,,0.0
يَوْمِ,يوم,,,يفعل,فعل,1.0
الظُّلَّةِ,الظله,اسم,الظُّلَّةِ,تَفَعَّل,فعل,1.0
إِنَّهُ,انه,,,انفعل,فعل,1.0
,كان,فعل,,,,0.0
